,Name,Total,Singles,Doubles
7,"ZIDANSEK, TAMARA","311,596","289,089","22,507"
8,"DANILOVIC, OLGA","309,392","304,790","4,602"
9,"SUTJIADI, ALDILA","307,251",,"237,151"
10,"WALTERT, SIMONA","301,051","297,309","3,742"
11,"JEANJEAN, LEOLIA","298,619","281,506","12,113"
12,"STEFANINI, LUCREZIA","295,802","294,802","1,000"
13,"FRUHVIRTOVA, BRENDA","293,404","276,504","16,900"
14,"CHAN, HAO-CHING","291,326","2,075","263,197"
15,"SHYMANOVICH, IRYNA","283,211","190,582","92,628"
16,"MONTGOMERY, ROBIN","280,238","233,860","39,278"
17,"DANILINA, ANNA","279,218","9,797","158,367"
18,"ANDREEVA, ERIKA","278,186","262,067","16,119"
19,"PIGOSSI, LAURA","278,093","272,008","6,085"
20,"BOLSOVA , ALIONA","277,759","227,590","50,169"
21,"RISKE-AMRITRAJ, ALISON","277,604","250,461","27,143"
22,"LYS, EVA","276,245","276,245",
23,"MLADENOVIC, KRISTINA","273,944","201,674","63,541"
24,"STEVANOVIC, NATALIJA","260,041","251,980","8,061"
25,"SAVILLE, DARIA","255,889","218,208","37,681"
26,"VICKERY, SACHIA","255,301","254,172","1,129"
27,"UCHIJIMA, MOYUKA","254,932","230,603","24,329"
28,"WATSON, HEATHER","252,432","186,516","58,166"
29,"BJORKLUND, MIRJAM","249,543","249,163",380
30,"YUAN, YUE","246,395","241,092","5,303"
31,"CHAN, LATISHA","245,872",,"219,818"
32,"BOUZAS MANEIRO, JESSICA","242,495","240,713","1,782"
33,"DODIN, OCEANE","240,846","240,846",
34,"PAPAMICHAIL, DESPINA","238,081","219,394","18,686"
35,"RADUCANU, EMMA","237,627","237,627",
36,"OLMOS, GIULIANA","236,974","2,860","204,285"
37,"BASSOLS RIBERA, MARINA","232,130","229,350","2,780"
38,"YANG, ZHAOXUAN","231,393",,"219,089"
39,"SWAN, KATIE","229,244","228,364",880
40,"MUHAMMAD, ASIA","229,012","68,693","142,819"
41,"MIYAZAKI, YURIKO LILY","227,666","224,004","3,662"
42,"FOURLIS, JAIMEE","223,418","204,143","14,721"
43,"ARANGO, EMILIANA","216,589","213,925","2,664"
44,"VANDEWEGHE, COCO","215,466","192,316","23,150"
45,"TIG, PATRICIA MARIA","212,609","212,572",37
0,,"212,509","211,533",975
1,,"208,974",,"133,374"
2,,"206,143","193,843","12,300"
3,,"200,323","200,171",152
4,,"197,413","85,115","112,298"
5,,"197,281","183,608","13,673"
6,,"194,500","179,105","15,395"
7,,"193,504","184,526","8,978"
8,,"192,294","192,294",
9,,"189,377","187,193","2,184"
10,,"184,105","177,672","6,433"
11,,"181,021","179,406","1,614"
12,,"180,656","157,138","23,518"
13,,"180,103","177,699","2,403"
14,,"177,498","7,650","169,848"
15,,"176,882","176,730",152
16,,"175,628","175,628",
17,,"171,928","4,675","141,424"
18,,"168,939","168,533",406
19,,"168,456","158,631","9,824"
20,,"166,626","144,798","21,828"
21,,"165,974","165,822",152
22,,"165,796","165,796",
23,,"163,387","163,285",101
24,,"163,203","149,576","13,627"
25,,"159,914","28,840","131,074"
26,,"159,846","9,590","150,256"
27,,"157,723","154,394","3,328"
28,,"156,785","149,358","7,427"
29,,"154,502","154,502",
30,,"153,583","141,389","12,194"
31,,"151,798","137,418","9,380"
32,,"151,454","147,994","3,459"
33,,"150,431","135,514","14,916"
34,,"149,936","144,346","5,590"
35,,"148,063","146,063","2,000"
36,,"146,343","2,075","144,268"
37,,"144,734","136,834","7,900"
38,,"141,474","138,636","2,838"
39,,"140,857","4,000","136,857"
40,,"140,820","127,373","13,447"
41,,"139,406","1,626","129,051"
42,,"137,302","59,880","77,422"
43,,"135,848","135,848",
44,,"135,838","135,560",278
45,,"133,934","126,729","7,205"
0,,"133,333","133,333",
1,,"132,186","120,239","11,946"
2,,"132,033","130,935","1,098"
3,,"131,990","101,683","30,307"
4,,"128,019","120,164","7,854"
5,,"127,490","126,512",978
6,,"127,402","120,061","7,341"
7,,"127,066","1,270","125,796"
8,,"126,883",,"122,329"
9,,"126,497","123,486","3,011"
10,,"125,049","122,533","2,515"
11,,"122,969","121,685","1,284"
12,,"121,806","121,806",
13,,"119,814",,"119,814"
14,,"118,995","115,693","3,302"
15,,"117,599","112,031","5,568"
16,,"115,890",,"115,890"
17,,"114,163","112,748","1,415"
18,,"114,090","105,155","8,934"
19,,"113,681",,"109,681"
20,,"111,886","110,706","1,180"
21,,"110,722","103,934","6,788"
22,,"109,341","98,230","11,110"
23,,"108,837","91,915","16,922"
24,,"108,193","107,689",504
25,,"107,091","106,863",228
26,,"106,036","88,737","17,299"
27,,"105,920","103,745","2,175"
28,,"105,000","93,347","11,653"
29,,"103,491","97,110","6,381"
30,,"102,315","99,579","2,736"
31,,"101,767","44,812","56,955"
32,,"101,473","4,326","97,147"
33,,"101,465","95,807","5,658"
34,,"101,337","95,238","6,098"
35,,"101,242",,"92,688"
36,,"100,694","96,198","4,495"
37,,"100,551","98,522","2,028"
38,,"100,464","88,576","11,888"
39,,"100,073","100,073",
40,,"95,789",,"91,235"
41,,"94,889","2,860","92,029"
42,,"93,443","35,128","58,315"
43,,"92,185","89,054","3,131"
44,,"91,486","90,774",712
45,,"91,238","91,238",
0,"JAKUPOVIC, DALILA","90,500","73,173","17,327"
1,"JONES, MAKENNA","89,606","46,630","42,976"
2,"NEEL, INGRID","89,127",600,"88,527"
3,"NICHOLLS, OLIVIA","88,576",,"56,576"
4,"EALA, ALEXANDRA","85,992","83,915","2,077"
5,"MARTINS, INGRID","85,189","2,336","82,853"
6,"MAKAROVA, EKATERINA","84,590","81,562","3,028"
7,"SONMEZ, ZEYNEP","84,299","84,147",152
8,"TIKHONOVA, ANASTASIA","83,503","70,102","13,401"
9,"ASTAKHOVA, DARYA","83,171","80,614","2,557"
10,"BENOIT, MARIE","82,786","80,750","2,036"
11,"SANTAMARIA, SABRINA","79,777",,"79,777"
12,"VON DEICHMANN, KATHINKA","79,578","79,009",569
13,"TAN, HARMONY","78,527","78,527",
14,"SAVINYKH, VALERIA","78,159","77,729",430
15,"WU, FANG-HSIEN","77,628",,"77,628"
